"Frequently Occurring Surnames in the 2010 Census: Top 1,000 Surnames ",,,,,,,,,,
,,,,,,,,,,
SURNAME,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,PERCENT NON-HISPANIC OR LATINO WHITE ALONE,PERCENT NON-HISPANIC OR LATINO BLACK OR AFRICAN AMERICAN ALONE,PERCENT NON-HISPANIC OR LATINO ASIAN AND NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,PERCENT NON-HISPANIC OR LATINO AMERICAN INDIAN AND ALASKA NATIVE ALONE,PERCENT NON-HISPANIC OR LATINO TWO OR MORE RACES,PERCENT HISPANIC OR LATINO ORIGIN
SMITH,1,"2,442,977",828.2,828.2,70.9,23.1,0.5,0.9,2.2,2.4
JOHNSON,2,"1,932,812",655.2,"1,483.4",59.0,34.6,0.5,0.9,2.6,2.4
WILLIAMS,3,"1,625,252",551.0,"2,034.4",45.8,47.7,0.5,0.8,2.8,2.5
BROWN,4,"1,437,026",487.2,"2,521.6",58.0,35.6,0.5,0.9,2.6,2.5
JONES,5,"1,425,470",483.2,"3,004.8",55.2,38.5,0.4,1.0,2.6,2.3
GARCIA,6,"1,166,120",395.3,"3,400.1",5.4,0.5,1.4,0.5,0.3,92.0
MILLER,7,"1,161,437",393.7,"3,793.9",84.1,10.8,0.5,0.7,1.8,2.2
DAVIS,8,"1,116,357",378.5,"4,172.3",62.2,31.6,0.5,0.8,2.5,2.4
RODRIGUEZ,9,"1,094,924",371.2,"4,543.5",4.8,0.5,0.6,0.2,0.2,93.8
MARTINEZ,10,"1,060,159",359.4,"4,902.9",5.3,0.5,0.6,0.5,0.2,92.9
HERNANDEZ,11,"1,043,281",353.7,"5,256.6",3.8,0.4,0.6,0.2,0.2,94.9
LOPEZ,12,"874,523",296.5,"5,553.1",4.9,0.6,1.0,0.4,0.3,92.9
GONZALEZ,13,"841,025",285.1,"5,838.2",4.0,0.4,0.4,0.1,0.1,95.0
WILSON,14,"801,882",271.8,"6,110.0",67.4,26.0,0.6,1.1,2.4,2.6
ANDERSON,15,"784,404",265.9,"6,375.9",75.2,18.9,0.6,0.7,2.1,2.4
THOMAS,16,"756,142",256.3,"6,632.3",52.6,38.8,2.4,1.1,2.6,2.5
TAYLOR,17,"751,209",254.7,"6,886.9",65.4,28.4,0.6,0.8,2.4,2.5
MOORE,18,"724,374",245.6,"7,132.5",66.4,27.7,0.5,0.7,2.3,2.3
JACKSON,19,"708,099",240.1,"7,372.5",39.9,53.0,0.4,1.1,3.1,2.5
MARTIN,20,"702,625",238.2,"7,610.7",74.8,15.8,0.9,1.0,2.0,5.6
LEE,21,"693,023",234.9,"7,845.7",36.0,16.3,42.2,1.0,2.6,1.9
PEREZ,22,"681,645",231.1,"8,076.8",5.0,0.5,1.2,0.2,0.3,93.0
THOMPSON,23,"664,644",225.3,"8,302.1",69.8,23.6,0.6,1.2,2.4,2.5
WHITE,24,"660,491",223.9,"8,526.0",65.5,28.2,0.5,1.1,2.4,2.4
